Date,VIX,EMBI
2004-03-31,16.658064503823557,4750.0
2004-06-30,16.230161297705866,4200.0
2004-09-30,15.442187443375587,3900.0
2004-12-31,13.651250019669533,3500.0
2005-03-31,12.787049199714035,3100.0
2005-06-30,13.407343715429306,2700.0
2005-09-30,12.250781282782555,2900.0
2005-12-31,12.781746031746032,2400.0
2006-03-31,12.042419341302686,2100.0
2006-06-30,14.528730119977679,2200.0
2006-09-30,13.607936465550983,2100.0
2006-12-31,11.034920647030784,1900.0
2007-03-31,12.56360655925313,1800.0
2007-06-30,13.731904726179819,1700.0
2007-09-30,21.589206256563703,1900.0
2007-12-31,22.029843717813492,2000.0
2008-03-31,26.120164089515562,2300.0
2008-06-30,20.67296865582466,2500.0
2008-09-30,25.073281168937683,2800.0
2008-12-31,58.59593743085861,4100.0
2009-03-31,45.00000006253602,3900.0
2009-06-30,33.01571428208124,3400.0
2009-09-30,25.486250042915344,2900.0
2009-12-31,23.070156276226044,2600.0
2010-03-31,20.149672086121605,2200.0
2010-06-30,26.39142858414423,2100.0
2010-09-30,24.283593624830246,1900.0
2010-12-31,19.31843753159046,1800.0
2011-03-31,18.61483860015869,1700.0
2011-06-30,17.48238103351896,1800.0
2011-09-30,30.583593621850014,2100.0
2011-12-31,29.939523818000914,1900.0
2012-03-31,18.204032267293623,2100.0
2012-06-30,20.035714210025848,2200.0
2012-09-30,16.192698403010294,2300.0
2012-12-31,16.75290323072864,2000.0
2013-03-31,13.527000029881796,1900.0
2013-06-30,14.837031200528145,1900.0
2013-09-30,14.279687568545341,2000.0
2013-12-31,14.232812464237213,2200.0
2014-03-31,14.828852528431376,2400.0
2014-06-30,12.738253971887014,3100.0
2014-09-30,13.074375003576279,2700.0
2014-12-31,16.063750088214874,2500.0
2015-03-31,16.56475407959985,2500.0
2015-06-30,13.740158762250628,2600.0
2015-09-30,19.307343780994415,2800.0
2015-12-31,17.033281311392784,2700.0
2016-03-31,20.486229490061277,2100.0
2016-06-30,15.675937503576279,1900.0
2016-09-30,13.233906269073486,1800.0
2016-12-31,14.09793646373446,1700.0
2017-03-31,11.691935508481917,1600.0
2017-06-30,11.426349231175013,1500.0
2017-09-30,10.944285695514981,1500.0
2017-12-31,10.307936501881432,1400.0
2018-03-31,17.354754135256908,1600.0
2018-06-30,15.337500035762787,2300.0
2018-09-30,12.856825404696995,2800.0
2018-12-31,21.05365064409044,2900.0
2019-03-31,16.4699999387147,2700.0
2019-06-30,15.183015777951194,2800.0
2019-09-30,15.960156202316284,4200.0
2019-12-31,13.985781237483025,3700.0
2020-03-31,31.22451622255387,4500.0
2020-06-30,34.49365086025662,5500.0
2020-09-30,25.80890628695488,3200.0
2020-12-31,25.62171870470047,2000.0
2021-03-31,23.202458960111024,1800.0
2021-06-30,17.999999969724623,1700.0
2021-09-30,18.28906251490116,1800.0
2021-12-31,19.274375021457672,2000.0
2022-03-31,25.37290327010616,2200.0
2022-06-30,27.353709836159982,2500.0
2022-09-30,24.731250047683716,2400.0
2022-12-31,25.07539691622295,2300.0
2023-03-31,20.6945161819458,2400.0
2023-06-30,16.46112900395547,2500.0
2023-09-30,15.05301583002484,3000.0
2023-12-31,15.325714308118064,3800.0
2024-03-31,13.703770512440165,2800.0
2024-06-30,14.029841180831667,2400.0
2024-09-30,17.165468707680702,1800.0
2024-12-31,17.41734381020069,1400.0
2025-03-31,18.626333491007486,1100.0
2025-06-30,23.632096875098444,750.0
2025-09-30,15.957499966025352,650.0
2025-12-31,17.75359381735325,561.0
